project,experiment,iteration,stim_id,gameID,condition,study_phase,trialNum,stimuli_set,author_name,collection_name,level_name,width,height,layout,boxes,start_position.x,start_position.y,select_response,select_rt,rate_response,rate_rt,solveDuration,solved,boxesSolved,attempt_nInputEvents,attempt_nMovesAttempted,attempt_nMoved,attempt_nPushed,attempt_nRestart,attempt_nUndo
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6bc,2212-2e008b61-4a7e-4d2a-9945-783bc07e09a0,difficult,test,3,B,jacques-duthen,Sokogen-990602-Levels,17,7.0,7.0,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '$'}]",1.0,1.0,2.0,1911.2000000476837,10.0,4849.0,,0,1,80,66,55,18,2,12
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b3,2334-f3ce26dc-d7b8-4b11-9de4-693467aabb5a,difficult,test,5,B,david-w-skinner,Microban,41,8.0,6.0,"['#######', '#     #', '#@$$$ ##', '#  #...#', '##    ##', ' ######']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '$'}]",1.0,2.0,4.0,1205.0,8.0,2389.0,,0,2,264,244,207,41,3,17
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b4,7300-26294324-fb0d-4605-beff-26d77f614899,difficult,test,2,B,jacques-duthen,Sokogen-990602-Levels,19,6.0,6.0,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","[{'x': 1, 'y': 2, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}]",1.0,1.0,1.0,2901.399999976158,8.0,2327.0,,0,1,216,146,134,28,2,68
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6bd,4047-e32140a3-3b28-4f2b-9ba3-c2a1e9327ec6,difficult,test,4,B,jacques-duthen,Dimitri-and-Yorick,37,6.0,6.0,"['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']","[{'x': 3, 'y': 1, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}]",2.0,1.0,3.0,8856.699999988079,9.0,3716.0,134.0,1,3,129,126,120,16,1,2
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b1,3368-10d99362-a076-4f79-937e-c720fdcbc414,enjoyable,test,5,A,jacques-duthen,Sokogen-990602-Levels,13,8.0,6.0,"['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']","[{'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '*'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,1.0,81242.0,10.0,2347.0,41.0,1,3,71,71,66,8,0,0
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6c0,2995-02c4a682-4b63-46f1-80ae-36f888e70791,difficult,test,2,B,jacques-duthen,Sokogen-990602-Levels,19,6.0,6.0,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","[{'x': 1, 'y': 2, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}]",1.0,1.0,1.0,3863.900000035763,8.0,3275.0,,0,1,166,161,134,31,5,0
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a5,3529-5cce2b4b-5b80-42cf-8af7-a1243bcef95b,enjoyable,test,4,A,jacques-duthen,Sokogen-990602-Levels,35,8.0,6.0,"['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']","[{'x': 3, 'y': 1, 'state': '*'}, {'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,7.0,2205.5,5.0,1943.0,,0,1,141,137,110,9,2,2
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6b0,1806-1198a39d-5416-459a-b5bf-d805efb81190,enjoyable,test,4,A,david-w-skinner,Microban,67,7.0,8.0,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","[{'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '*'}, {'x': 3, 'y': 5, 'state': '$'}]",1.0,3.0,0.0,3123.4000000953674,3.0,1470.0,,0,2,335,320,275,32,11,4
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6cd,5189-1145fda3-1f91-4ca5-9f29-db69268412b3,enjoyable,test,2,B,jacques-duthen,Dimitri-and-Yorick,37,6.0,6.0,"['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']","[{'x': 3, 'y': 1, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}]",2.0,1.0,3.0,6479.9000000059605,1.0,1817.0,,0,2,128,124,99,19,2,2
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a7,7311-a30685b7-505c-4139-9434-cff4b405d7c3,enjoyable,test,5,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,3018.6000003814697,1.0,1402.0,,0,0,303,269,170,59,12,22
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6aa,7257-dc1e2b62-17ca-461f-855b-90b81c213649,enjoyable,test,5,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,19617.399999976158,3.0,2146.0,,0,2,80,73,64,24,7,0
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6ca,2485-47f57e30-a80b-4dbd-a9e6-6b306a349c3f,enjoyable,test,2,B,david-w-skinner,Microban,33,7.0,7.0,"['#######', '#. #  #', '#  $  #', '#. $#@#', '#  $  #', '#. #  #', '#######']","[{'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 3, 'y': 4, 'state': '$'}]",5.0,3.0,0.0,3491.0999999940395,4.0,1144.0,,0,2,321,316,277,50,5,0
fun-puzzles,fun-puzzles-exp1,production2,6790957196019241f9c4f6bf,2896-9a6e26ee-4bc6-4b47-84f2-37ee5e14e3e0,difficult,test,3,B,jacques-duthen,Sokogen-990602-Levels,39,9.0,7.0,"['######', '#    #', '# ## ##', '# . * ###', '## $ *  #', ' #  #  @#', ' ########']","[{'x': 4, 'y': 3, 'state': '*'}, {'x': 3, 'y': 4, 'state': '$'}, {'x': 5, 'y': 4, 'state': '*'}]",7.0,5.0,7.0,18558.30000001192,10.0,1319.0,,0,1,44,40,34,15,4,0
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a9,6597-33a376ae-5d1a-49f3-905e-aa8bc37c24cd,enjoyable,test,4,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,4461.400000095367,7.0,3053.0,,0,2,105,90,76,27,6,9
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a8,3923-9e1c2464-4cd8-4845-a0d6-2816d7461393,enjoyable,test,4,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,2029.1000000238419,4.0,2073.0,,0,1,47,47,35,7,0,0
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f6a0,0885-9d54908b-0065-4c7a-a372-20b29af57ac5,enjoyable,test,5,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,1257.1000000014901,1.0,3050.0,,0,1,436,421,256,82,11,4
